size,patch,nprocs,runtime,mode,run
165,22,1,0.43895622715353966,cb,1
165,22,1,0.4047798905521631,cb,2
165,22,1,0.4323537293821573,cb,3
165,22,2,0.2725144848227501,cb,1
165,22,2,0.26236641220748425,cb,2
165,22,2,0.2857772037386894,cb,3
165,22,4,0.1928551010787487,cb,1
165,22,4,0.18358414247632027,cb,2
165,22,4,0.20950655452907085,cb,3
165,22,8,0.1437630020081997,cb,1
165,22,8,0.13912919349968433,cb,2
165,22,8,0.13272916339337826,cb,3
165,22,16,0.1658400408923626,cb,1
165,22,16,0.14821201004087925,cb,2
165,22,16,0.13861371204257011,cb,3
165,22,24,0.16447941958904266,cb,1
165,22,24,0.15102566964924335,cb,2
165,22,24,0.14962332881987095,cb,3
165,22,32,0.1914469487965107,cb,1
165,22,32,0.16660718247294426,cb,2
165,22,32,0.17578339762985706,cb,3
1020,22,1,10.828140389174223,cb,1
1020,22,1,10.643430948257446,cb,2
1020,22,1,9.676590360701084,cb,3
1020,22,2,5.044570265337825,cb,1
1020,22,2,4.9715970903635025,cb,2
1020,22,2,5.066732963547111,cb,3
1020,22,4,2.638597287237644,cb,1
1020,22,4,2.6385310143232346,cb,2
1020,22,4,2.6641597617417574,cb,3
1020,22,8,1.5947573464363813,cb,1
1020,22,8,1.5815660506486893,cb,2
1020,22,8,1.5552128441631794,cb,3
1020,22,16,0.9511067271232605,cb,1
1020,22,16,0.90022156201303,cb,2
1020,22,16,0.9740893431007862,cb,3
1020,22,24,0.7634592968970537,cb,1
1020,22,24,0.7707383558154106,cb,2
1020,22,24,0.8003819640725851,cb,3
1020,22,32,0.7066689264029264,cb,1
1020,22,32,0.7211286257952452,cb,2
1020,22,32,0.6883189007639885,cb,3
165,22,1,0.4213465079665184,cs,1
165,22,1,0.5118801724165678,cs,2
165,22,1,0.47283826023340225,cs,3
165,22,2,0.25241751596331596,cs,1
165,22,2,0.22816621325910091,cs,2
165,22,2,0.2471583280712366,cs,3
165,22,4,0.2154177464544773,cs,1
165,22,4,0.19117001071572304,cs,2
165,22,4,0.18531057983636856,cs,3
165,22,8,0.13645038940012455,cs,1
165,22,8,0.1391395963728428,cs,2
165,22,8,0.1350564192980528,cs,3
165,22,16,0.1414165459573269,cs,1
165,22,16,0.13451368175446987,cs,2
165,22,16,0.14623885601758957,cs,3
165,22,24,0.16887527145445347,cs,1
165,22,24,0.1289400067180395,cs,2
165,22,24,0.16250714287161827,cs,3
165,22,32,0.1572737004607916,cs,1
165,22,32,0.20295638218522072,cs,2
165,22,32,0.1884378418326378,cs,3
1020,22,1,9.177947629243135,cs,1
1020,22,1,9.511457594111562,cs,2
1020,22,1,9.14695436693728,cs,3
1020,22,2,4.783960107713938,cs,1
1020,22,2,4.853359347209334,cs,2
1020,22,2,4.8593448884785175,cs,3
1020,22,4,2.7168127913028,cs,1
1020,22,4,2.606954138725996,cs,2
1020,22,4,2.578153448179364,cs,3
1020,22,8,1.4920475538820028,cs,1
1020,22,8,1.4270204603672028,cs,2
1020,22,8,1.5278440043330193,cs,3
1020,22,16,0.9150783084332943,cs,1
1020,22,16,0.9384673107415438,cs,2
1020,22,16,0.8914959877729416,cs,3
1020,22,24,0.7342953067272902,cs,1
1020,22,24,0.7661062069237232,cs,2
1020,22,24,0.7055876217782497,cs,3
1020,22,32,0.7009342070668936,cs,1
1020,22,32,0.6853154115378857,cs,2
1020,22,32,0.7159636970609426,cs,3
