n,p,run,time
85,1,1,0.101941
85,1,2,0.101826
85,1,3,0.101940
85,2,1,0.051824
85,2,2,0.051176
85,2,3,0.051211
85,4,1,0.025870
85,4,2,0.025814
85,4,3,0.025834
85,8,1,0.013258
85,8,2,0.013244
85,8,3,0.013235
85,16,1,0.007074
85,16,2,0.007080
85,16,3,0.007148
85,24,1,0.007368
85,24,2,0.007284
85,24,3,0.007434
85,32,1,0.007713
85,32,2,0.007611
85,32,3,0.007595
1150,1,1,17.984472
1150,1,2,17.878764
1150,1,3,17.835612
1150,2,1,9.008541
1150,2,2,9.006459
1150,2,3,9.011777
1150,4,1,4.519853
1150,4,2,4.522764
1150,4,3,4.518850
1150,8,1,2.272444
1150,8,2,2.271688
1150,8,3,2.272262
1150,16,1,1.155667
1150,16,2,1.155936
1150,16,3,1.155455
1150,24,1,1.155251
1150,24,2,1.159520
1150,24,3,1.155940
1150,32,1,1.157411
1150,32,2,1.154194
1150,32,3,1.155011
