size,patch,nprocs,runtime,mode,run
165,22,1,0.39363159984350204,cb,1
165,22,1,0.2882053218781948,cb,2
165,22,1,0.2878873571753502,cb,3
165,22,2,0.3368318434804678,cb,1
165,22,2,0.2923855856060982,cb,2
165,22,2,0.2882004790008068,cb,3
165,22,4,0.2883284352719784,cb,1
165,22,4,0.28784247301518917,cb,2
165,22,4,0.28768973611295223,cb,3
165,22,8,0.2940482869744301,cb,1
165,22,8,0.29711912758648396,cb,2
165,22,8,0.3463813867419958,cb,3
165,22,16,0.2897138576954603,cb,1
165,22,16,0.29181487299501896,cb,2
165,22,16,0.29082954302430153,cb,3
165,22,24,0.28930939361453056,cb,1
165,22,24,0.2911984249949455,cb,2
165,22,24,0.2911898586899042,cb,3
165,22,32,0.29319246858358383,cb,1
165,22,32,0.29357881657779217,cb,2
165,22,32,0.2905791699886322,cb,3
1020,22,1,9.30488694831729,cb,1
1020,22,1,9.520169058814645,cb,2
1020,22,1,9.287184989079833,cb,3
1020,22,2,9.441746035590768,cb,1
1020,22,2,9.33222177810967,cb,2
1020,22,2,9.330754395574331,cb,3
1020,22,4,9.544379444792867,cb,1
1020,22,4,9.390420423820615,cb,2
1020,22,4,9.496432268992066,cb,3
1020,22,8,9.48192384839058,cb,1
1020,22,8,9.337211245670915,cb,2
1020,22,8,9.300580993294716,cb,3
1020,22,16,9.2756926137954,cb,1
1020,22,16,9.426499731838703,cb,2
1020,22,16,9.423772621899843,cb,3
1020,22,24,9.346760891377926,cb,1
1020,22,24,9.255247024819255,cb,2
1020,22,24,9.370799584314227,cb,3
1020,22,32,9.253081820905209,cb,1
1020,22,32,9.331577995792031,cb,2
1020,22,32,9.327505320310593,cb,3
165,22,1,0.2889870572835207,cs,1
165,22,1,0.28406446799635887,cs,2
165,22,1,0.2860537935048342,cs,3
165,22,2,0.28232806362211704,cs,1
165,22,2,0.28142149187624454,cs,2
165,22,2,0.2820037119090557,cs,3
165,22,4,0.2820616289973259,cs,1
165,22,4,0.2848478015512228,cs,2
165,22,4,0.28168834932148457,cs,3
165,22,8,0.28265779465436935,cs,1
165,22,8,0.28423308581113815,cs,2
165,22,8,0.285012099891901,cs,3
165,22,16,0.2916362266987562,cs,1
165,22,16,0.291148966178298,cs,2
165,22,16,0.2851181700825691,cs,3
165,22,24,0.2855299059301615,cs,1
165,22,24,0.2828035354614258,cs,2
165,22,24,0.2822450641542673,cs,3
165,22,32,0.287251403555274,cs,1
165,22,32,0.2833896093070507,cs,2
165,22,32,0.2854931205511093,cs,3
1020,22,1,8.914804991334677,cs,1
1020,22,1,8.890729432925582,cs,2
1020,22,1,8.948976183310151,cs,3
1020,22,2,8.870438685640693,cs,1
1020,22,2,8.927013156935573,cs,2
1020,22,2,8.967082710936666,cs,3
1020,22,4,8.855946647003293,cs,1
1020,22,4,8.811968492344022,cs,2
1020,22,4,8.834059849381447,cs,3
1020,22,8,9.06500623933971,cs,1
1020,22,8,8.899298368021846,cs,2
1020,22,8,8.879884731024504,cs,3
1020,22,16,8.946001533418894,cs,1
1020,22,16,8.973048988729715,cs,2
1020,22,16,8.94774398393929,cs,3
1020,22,24,8.87377387098968,cs,1
1020,22,24,8.948963729664683,cs,2
1020,22,24,9.018813697621226,cs,3
1020,22,32,8.89997074380517,cs,1
1020,22,32,8.920026684179902,cs,2
1020,22,32,8.85350751504302,cs,3
